證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
1101,台泥,9.84,107.0,10.04,1.26,108/3
1102,亞泥,6.76,107.0,9.12,0.97,108/3
1103,嘉泥,5.73,107.0,8.64,0.51,108/3
1104,環泥,6.01,107.0,10.88,0.61,108/3
1108,幸福,0.0,107.0,,0.68,108/3
1109,信大,4.97,107.0,5.63,0.84,108/3
1110,東泥,0.64,107.0,782.5,1.05,108/3
1201,味全,4.12,107.0,7.82,1.4,108/3
1203,味王,3.79,107.0,14.35,1.28,108/3
1210,大成,5.35,107.0,12.9,1.64,108/3
1213,大飲,0.0,106.0,,0.59,108/3
1215,卜蜂,5.24,107.0,12.22,2.09,108/3
1216,統一,3.56,107.0,21.24,3.73,108/3
1217,愛之味,0.0,107.0,42.0,0.59,108/3
1218,泰山,3.55,107.0,20.13,1.68,108/3
1219,福壽,0.56,107.0,66.48,1.52,108/3
1220,台榮,4.6,107.0,17.86,0.79,108/3
1225,福懋油,3.74,107.0,20.64,2.14,108/3
1227,佳格,4.11,107.0,17.18,3.48,108/3
1229,聯華,5.9,107.0,13.69,1.51,108/3
1231,聯華食,5.96,107.0,13.99,1.97,108/3
1232,大統益,4.27,107.0,18.28,4.9,108/3
1233,天仁,5.12,107.0,21.32,2.15,108/3
1234,黑松,5.09,107.0,15.65,0.72,108/3
1235,興泰,5.12,107.0,406.67,0.7,108/3
1236,宏亞,3.24,107.0,82.33,0.79,108/4
1256,鮮活果汁-KY,3.72,107.0,12.58,3.34,108/3
1301,台塑,6.9,107.0,14.66,1.53,108/3
1303,南亞,7.84,107.0,21.77,1.46,108/3
1304,台聚,2.79,107.0,12.8,0.62,108/3
1305,華夏,10.67,107.0,18.16,1.17,108/3
1307,三芳,2.59,107.0,18.74,0.91,108/3
1308,亞聚,2.08,107.0,13.98,0.8,108/3
1309,台達化,4.5,107.0,21.14,0.7,108/3
1310,台苯,11.98,107.0,10.0,1.26,108/4
1312,國喬,0.0,107.0,6.47,0.54,108/3
1313,聯成,5.78,107.0,,0.56,108/3
1314,中石化,13.79,107.0,14.22,0.31,108/3
1315,達新,2.64,107.0,12.38,1.08,108/3
1316,上曜,17.34,107.0,,1.06,108/3
1319,東陽,4.78,107.0,10.72,0.98,108/3
1321,大洋,0.0,107.0,176.0,1.16,108/3
1323,永裕,5.72,107.0,9.8,1.4,108/4
1324,地球,3.52,107.0,,0.66,108/3
1325,恆大,1.32,107.0,75.5,1.9,108/3
1326,台化,8.26,107.0,15.23,1.24,108/3
1337,再生-KY,0.0,107.0,,0.15,108/3
1338,廣華-KY,7.4,107.0,10.51,0.63,108/3
1339,昭輝,4.88,107.0,8.37,0.88,108/3
1340,勝悅-KY,11.48,107.0,,0.26,108/3
1341,富林-KY,5.15,107.0,10.68,2.42,108/3
1402,遠東新,7.11,107.0,14.06,0.67,108/3
1409,新纖,7.59,107.0,8.96,0.62,108/3
1410,南染,4.55,107.0,22.84,1.67,108/3
1413,宏洲,0.0,107.0,7.03,0.85,108/3
1414,東和,3.22,107.0,,0.45,108/3
1416,廣豐,9.84,107.0,14.02,0.57,108/3
1417,嘉裕,0.0,107.0,,0.69,108/3
1418,東華,0.0,107.0,,0.47,108/3
1419,新紡,2.12,107.0,32.56,1.4,108/3
1423,利華,0.0,107.0,,0.59,108/3
1432,大魯閣,0.0,107.0,,0.6,108/3
1434,福懋,6.82,107.0,15.17,0.82,108/3
1435,中福,0.0,107.0,381.0,1.07,108/3
1436,華友聯,10.54,107.0,23.87,1.46,108/3
1437,勤益控,2.45,107.0,4.83,0.65,108/3
1438,三地開發,0.0,107.0,,2.2,108/3
1439,中和,0.0,107.0,3.29,1.06,108/3
1440,南紡,4.21,107.0,,0.64,108/3
1441,大東,40.24,107.0,,0.69,108/3
1442,名軒,6.23,107.0,61.73,0.96,108/3
1443,立益,0.0,107.0,,1.02,108/3
1444,力麗,4.97,107.0,23.0,0.72,108/3
1445,大宇,2.94,107.0,,0.53,108/3
1446,宏和,1.16,107.0,,2.3,108/3
1447,力鵬,3.36,107.0,,0.51,108/3
1449,佳和,0.0,107.0,,1.96,108/3
1451,年興,10.44,107.0,35.46,0.52,108/3
1452,宏益,7.78,107.0,13.53,0.96,108/4
1453,大將,13.16,107.0,,0.57,108/3
1454,台富,2.81,107.0,29.71,0.59,108/3
1455,集盛,3.33,107.0,,0.5,108/3
1456,怡華,0.0,107.0,30.37,0.63,108/4
1457,宜進,5.62,107.0,8.65,0.66,108/3
1459,聯發,0.0,107.0,,0.73,108/3
1460,宏遠,2.99,107.0,,0.63,108/3
1463,強盛,11.48,107.0,14.19,0.92,108/3
1464,得力,7.19,107.0,17.09,1.47,108/3
1465,偉全,2.02,107.0,4.17,0.77,108/3
1466,聚隆,0.0,107.0,,0.49,108/3
1467,南緯,0.0,107.0,33.67,0.71,108/3
1468,昶和,0.0,107.0,36.52,1.43,108/3
1470,大統新創,2.08,107.0,20.87,1.7,108/3
1471,首利,0.0,107.0,,0.4,108/3
1472,三洋紡,0.0,107.0,12.32,1.92,108/3
1473,台南,1.96,107.0,20.28,0.96,108/3
1474,弘裕,3.39,107.0,36.88,0.63,108/3
1475,業旺,0.0,107.0,,5.81,108/4
1476,儒鴻,3.65,107.0,19.24,4.56,108/4
1477,聚陽,5.68,107.0,14.64,3.12,108/3
1503,士電,3.7,107.0,13.5,0.89,108/3
1504,東元,3.63,107.0,14.76,0.87,108/3
1506,正道,0.0,107.0,,1.53,108/3
1507,永大,3.29,107.0,27.35,2.01,108/3
1512,瑞利,0.0,107.0,,1.33,108/3
