證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.28,108.0,9.72,1.27,109/2,2020-09-29
1102,亞泥,7.26,108.0,10.11,1.02,109/2,2020-09-29
1103,嘉泥,6.31,108.0,20.32,0.48,109/2,2020-09-29
1104,環泥,5.25,108.0,10.76,0.72,109/2,2020-09-29
1108,幸福,1.4,108.0,14.93,0.97,109/2,2020-09-29
1109,信大,5.64,108.0,7.22,1.0,109/2,2020-09-29
1110,東泥,0.6,108.0,,1.13,109/2,2020-09-29
1201,味全,6.75,108.0,33.97,1.59,109/2,2020-09-29
1203,味王,3.12,108.0,17.54,1.53,109/2,2020-09-29
1210,大成,5.23,108.0,12.99,1.87,109/2,2020-09-29
1213,大飲,0.0,108.0,,0.99,109/2,2020-09-29
1215,卜蜂,6.05,108.0,11.56,2.28,109/2,2020-09-29
1216,統一,4.0,108.0,18.88,3.45,109/2,2020-09-29
1217,愛之味,0.0,108.0,35.57,0.65,109/2,2020-09-29
1218,泰山,4.23,108.0,14.9,1.59,109/2,2020-09-29
1219,福壽,2.11,108.0,12.15,1.47,109/2,2020-09-29
1220,台榮,5.22,108.0,12.64,0.9,109/2,2020-09-29
1225,福懋油,4.13,108.0,20.86,2.26,109/2,2020-09-29
1227,佳格,4.37,108.0,15.29,3.52,109/2,2020-09-29
1229,聯華,8.02,108.0,16.15,1.6,109/2,2020-09-29
1231,聯華食,5.11,108.0,12.84,2.0,109/2,2020-09-29
1232,大統益,4.22,108.0,19.27,5.02,109/2,2020-09-29
1233,天仁,4.43,108.0,39.24,2.28,109/2,2020-09-29
1234,黑松,5.26,108.0,16.15,0.74,109/2,2020-09-29
1235,興泰,4.48,108.0,26.4,0.77,109/2,2020-09-29
1236,宏亞,2.23,108.0,70.79,0.89,109/2,2020-09-29
1256,鮮活果汁-KY,2.32,108.0,18.23,4.55,109/2,2020-09-29
1301,台塑,5.58,108.0,28.18,1.73,109/2,2020-09-29
1303,南亞,3.69,108.0,30.88,1.53,109/2,2020-09-29
1304,台聚,3.15,108.0,15.54,0.92,109/2,2020-09-29
1305,華夏,5.15,108.0,15.4,1.24,109/2,2020-09-29
1307,三芳,3.95,108.0,31.64,1.02,109/2,2020-09-29
1308,亞聚,6.21,108.0,11.57,0.98,109/2,2020-09-29
1309,台達化,2.27,108.0,15.65,1.92,109/2,2020-09-29
1310,台苯,6.21,108.0,115.0,1.36,109/2,2020-09-29
1312,國喬,0.0,108.0,11.65,0.71,109/2,2020-09-29
1313,聯成,1.59,108.0,90.0,0.81,109/2,2020-09-29
1314,中石化,3.57,108.0,22.11,0.39,109/2,2020-09-29
1315,達新,6.86,108.0,1.86,0.8,109/2,2020-09-29
1316,上曜,0.0,108.0,,1.17,109/2,2020-09-29
1319,東陽,5.01,108.0,16.1,1.01,109/2,2020-09-29
1321,大洋,0.0,108.0,14.03,1.27,109/2,2020-09-29
1323,永裕,4.88,108.0,9.51,1.48,109/2,2020-09-29
1324,地球,3.08,108.0,69.5,0.77,109/2,2020-09-29
1325,恆大,0.25,108.0,13.61,3.99,109/2,2020-09-29
1326,台化,5.6,108.0,33.24,1.34,109/2,2020-09-29
1337,再生-KY,0.0,108.0,,0.31,109/2,2020-09-29
1338,廣華-KY,6.53,108.0,19.93,0.77,109/2,2020-09-29
1339,昭輝,4.91,108.0,19.78,0.9,109/2,2020-09-29
1340,勝悅-KY,0.0,108.0,,0.32,109/2,2020-09-29
1341,富林-KY,8.55,108.0,10.81,2.75,109/2,2020-09-29
1402,遠東新,5.96,108.0,15.15,0.68,109/2,2020-09-29
1409,新纖,5.02,108.0,7.25,0.59,109/2,2020-09-29
1410,南染,3.05,108.0,34.89,1.96,109/2,2020-09-29
1413,宏洲,0.0,108.0,,1.06,109/2,2020-09-29
1414,東和,2.44,108.0,34.21,0.59,109/2,2020-09-29
1416,廣豐,0.0,108.0,,0.69,109/2,2020-09-29
1417,嘉裕,4.48,108.0,7.8,0.74,109/2,2020-09-29
1418,東華,0.0,108.0,,0.85,109/2,2020-09-29
