證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00672L""",元大S&P原油正2  ,0,0,0,0.0,0.0,0.0,0,0,0,"116,873,000",0,0,0,"120,923,000","4,050,000","116,873,000","116,873,000",2020-10-08
3037,欣興            ,"44,497,000","13,267,000","31,230,000",0.0,0.0,0.0,"671,000","10,000","661,000","2,476,000","1,840,000","200,000","1,640,000","1,194,000","358,000","836,000","34,367,000",2020-10-08
2330,台積電          ,"40,444,283","11,507,227","28,937,056",0.0,0.0,0.0,"640,000","39,000","601,000","134,000","662,000","333,000","329,000","329,000","524,000","-195,000","29,672,056",2020-10-08
"=""00876""",元大未來關鍵科技,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"11,557,000",0,"75,000","-75,000","11,679,000","47,000","11,632,000","11,556,000",2020-10-08
"=""0050""",元大台灣50      ,"10,470,225","134,000","10,336,225",0.0,0.0,0.0,"245,000",0,"245,000","12,000","30,000","312,000","-282,000","813,000","519,000","294,000","10,593,225",2020-10-08
"=""00852L""",國泰美國道瓊正2 ,"266,000",0,"266,000",0.0,0.0,0.0,0,0,0,"7,136,000",0,0,0,"8,337,000","1,201,000","7,136,000","7,402,000",2020-10-08
3703,欣陸            ,"14,124,069","7,642,000","6,482,069",0.0,0.0,0.0,0,0,0,"-136,000",0,"145,000","-145,000","9,000",0,"9,000","6,346,069",2020-10-08
"=""020019""",統一特選台灣5GN ,0,0,0,0.0,0.0,0.0,0,0,0,"6,187,000",0,0,0,"6,202,000","15,000","6,187,000","6,187,000",2020-10-08
2449,京元電子        ,"8,784,000","3,102,000","5,682,000",0.0,0.0,0.0,0,"7,000","-7,000","338,000","50,000","14,000","36,000","335,000","33,000","302,000","6,013,000",2020-10-08
3189,景碩            ,"6,588,000","1,622,000","4,966,000",0.0,0.0,0.0,"161,000","210,000","-49,000","589,000","376,000","82,000","294,000","360,000","65,000","295,000","5,506,000",2020-10-08
2883,開發金          ,"7,855,777","2,760,856","5,094,921",0.0,0.0,0.0,0,"20,000","-20,000","31,000","16,000","10,000","6,000","52,000","27,000","25,000","5,105,921",2020-10-08
"=""00653L""",富邦印度正2     ,"429,000","64,000","365,000",0.0,0.0,0.0,0,0,0,"4,694,000",0,0,0,"5,367,000","673,000","4,694,000","5,059,000",2020-10-08
2313,華通            ,"6,893,000","3,989,000","2,904,000",0.0,0.0,0.0,"1,751,000","7,000","1,744,000","395,000","788,000","956,000","-168,000","847,000","284,000","563,000","5,043,000",2020-10-08
2353,宏碁            ,"10,561,054","5,474,865","5,086,189",0.0,0.0,0.0,0,"4,000","-4,000","-48,000",0,"50,000","-50,000","71,000","69,000","2,000","5,034,189",2020-10-08
"=""00850""",元大臺灣ESG永續 ,0,"2,000","-2,000",0.0,0.0,0.0,0,0,0,"4,752,000",0,0,0,"4,845,000","93,000","4,752,000","4,750,000",2020-10-08
2363,矽統            ,"9,806,000","5,500,000","4,306,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"4,306,000",2020-10-08
2382,廣達            ,"4,665,371","972,392","3,692,979",0.0,0.0,0.0,0,"108,000","-108,000","122,000","53,000","2,000","51,000","71,000",0,"71,000","3,706,979",2020-10-08
8046,南電            ,"6,402,000","4,400,000","2,002,000",0.0,0.0,0.0,"649,000","15,000","634,000","484,000","620,000","205,000","415,000","110,000","41,000","69,000","3,120,000",2020-10-08
2368,金像電          ,"5,142,000","1,676,000","3,466,000",0.0,0.0,0.0,0,"371,000","-371,000","17,000",0,0,0,"93,000","76,000","17,000","3,112,000",2020-10-08
2887,台新金          ,"5,093,452","1,854,244","3,239,208",0.0,0.0,0.0,0,"15,000","-15,000","-125,000",0,0,0,0,"125,000","-125,000","3,099,208",2020-10-08
2344,華邦電          ,"14,641,215","11,041,436","3,599,779",0.0,0.0,0.0,0,0,0,"-692,000","8,000","50,000","-42,000","130,000","780,000","-650,000","2,907,779",2020-10-08
2327,國巨            ,"4,954,144","2,154,637","2,799,507",0.0,0.0,0.0,"9,000",0,"9,000","44,000","88,000","33,000","55,000","43,000","54,000","-11,000","2,852,507",2020-10-08
"=""00878""",國泰永續高股息  ,1,"114,000","-113,999",0.0,0.0,0.0,0,0,0,"2,840,228",0,0,0,"3,364,000","523,772","2,840,228","2,726,229",2020-10-08
"=""00642U""",元大S&P石油     ,0,0,0,0.0,0.0,0.0,0,0,0,"2,616,000",0,0,0,"2,616,000",0,"2,616,000","2,616,000",2020-10-08
5521,工信            ,"2,698,000","199,000","2,499,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"2,499,000",2020-10-08
2308,台達電          ,"4,330,615","1,833,252","2,497,363",0.0,0.0,0.0,"14,000","43,000","-29,000","-26,000","40,000","36,000","4,000","3,000","33,000","-30,000","2,442,363",2020-10-08
1609,大亞            ,"8,809,000","7,980,000","829,000",0.0,0.0,0.0,0,0,0,"1,575,000","1,479,000",0,"1,479,000","96,000",0,"96,000","2,404,000",2020-10-08
3653,健策            ,"2,255,000","673,000","1,582,000",0.0,0.0,0.0,"407,000",0,"407,000","332,000","278,000","24,000","254,000","130,000","52,000","78,000","2,321,000",2020-10-08
2892,第一金          ,"5,270,657","2,911,744","2,358,913",0.0,0.0,0.0,0,"15,000","-15,000","-44,000",0,"44,000","-44,000",0,0,0,"2,299,913",2020-10-08
910861,神州-DR         ,"2,273,000",0,"2,273,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"2,273,000",2020-10-08
3231,緯創            ,"4,071,187","2,219,328","1,851,859",0.0,0.0,0.0,0,"4,000","-4,000","192,000",0,0,0,"200,000","8,000","192,000","2,039,859",2020-10-08
2332,友訊            ,"2,599,000","462,000","2,137,000",0.0,0.0,0.0,0,0,0,"-100,000","6,000","6,000",0,"24,000","124,000","-100,000","2,037,000",2020-10-08
"=""00875""",國泰網路資安    ,"543,000","3,000","540,000",0.0,0.0,0.0,0,0,0,"1,430,772",0,0,0,"1,650,000","219,228","1,430,772","1,970,772",2020-10-08
2454,聯發科          ,"6,745,772","5,460,668","1,285,104",0.0,0.0,0.0,"742,000","22,000","720,000","-62,000","175,000","134,000","41,000","123,000","226,000","-103,000","1,943,104",2020-10-08
"=""00631L""",元大台灣50正2   ,"2,142,000","281,000","1,861,000",0.0,0.0,0.0,0,0,0,"81,000",0,0,0,"1,462,000","1,381,000","81,000","1,942,000",2020-10-08
2317,鴻海            ,"7,823,553","6,265,993","1,557,560",0.0,0.0,0.0,0,"17,000","-17,000","245,000","234,000","102,000","132,000","177,000","64,000","113,000","1,785,560",2020-10-08
4960,誠美材          ,"2,326,000","548,000","1,778,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,778,000",2020-10-08
4915,致伸            ,"1,958,000","200,000","1,758,000",0.0,0.0,0.0,0,0,0,"-3,000",0,0,0,"31,000","34,000","-3,000","1,755,000",2020-10-08
3034,聯詠            ,"4,632,582","3,754,272","878,310",0.0,0.0,0.0,"892,000","9,000","883,000","-146,000","113,000","236,000","-123,000","48,000","71,000","-23,000","1,615,310",2020-10-08
"=""00738U""",元大道瓊白銀    ,"1,189,000","97,000","1,092,000",0.0,0.0,0.0,0,0,0,"432,000",0,0,0,"551,000","119,000","432,000","1,524,000",2020-10-08
"=""00670L""",富邦NASDAQ正2   ,"630,000","35,000","595,000",0.0,0.0,0.0,0,0,0,"904,000",0,0,0,"1,045,000","141,000","904,000","1,499,000",2020-10-08
2520,冠德            ,"3,047,000","864,000","2,183,000",0.0,0.0,0.0,0,"483,000","-483,000","-206,000","2,000","220,000","-218,000","44,000","32,000","12,000","1,494,000",2020-10-08
3044,健鼎            ,"2,347,000","1,011,904","1,335,096",0.0,0.0,0.0,"48,000",0,"48,000","77,000","7,000","16,000","-9,000","96,000","10,000","86,000","1,460,096",2020-10-08
3014,聯陽            ,"1,429,000","161,000","1,268,000",0.0,0.0,0.0,0,0,0,"70,000","20,000",0,"20,000","125,000","75,000","50,000","1,338,000",2020-10-08
1301,台塑            ,"2,767,732","1,509,230","1,258,502",0.0,0.0,0.0,0,0,0,"5,000","5,000",0,"5,000",0,0,0,"1,263,502",2020-10-08
2002,中鋼            ,"3,993,542","2,454,732","1,538,810",0.0,0.0,0.0,0,"18,000","-18,000","-300,000",0,"300,000","-300,000",0,0,0,"1,220,810",2020-10-08
1513,中興電          ,"3,327,000","2,695,000","632,000",0.0,0.0,0.0,"320,000",0,"320,000","267,000","246,000","8,000","238,000","82,000","53,000","29,000","1,219,000",2020-10-08
5871,中租-KY         ,"2,400,000","1,243,511","1,156,489",0.0,0.0,0.0,0,"2,000","-2,000","7,000","10,000","4,000","6,000","3,000","2,000","1,000","1,161,489",2020-10-08
"=""00692""",富邦公司治理    ,"20,000","20,000",0,0.0,0.0,0.0,0,0,0,"1,148,000",0,0,0,"3,183,000","2,035,000","1,148,000","1,148,000",2020-10-08
"=""00861""",元大全球未來通訊,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"1,135,000",0,"100,000","-100,000","1,294,000","59,000","1,235,000","1,134,000",2020-10-08
5876,上海商銀        ,"1,607,524","533,332","1,074,192",0.0,0.0,0.0,0,0,0,"3,000",0,0,0,"3,000",0,"3,000","1,077,192",2020-10-08
6191,精成科          ,"1,922,000","860,000","1,062,000",0.0,0.0,0.0,0,0,0,"-31,000",0,0,0,"41,000","72,000","-31,000","1,031,000",2020-10-08
4961,天鈺            ,"1,418,000","394,000","1,024,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,024,000",2020-10-08
2542,興富發          ,"1,962,349","810,684","1,151,665",0.0,0.0,0.0,0,0,0,"-149,000","71,000","220,000","-149,000",0,0,0,"1,002,665",2020-10-08
"=""006208""",富邦台50        ,"23,000","23,000",0,0.0,0.0,0.0,0,0,0,"953,000",0,0,0,"2,257,000","1,304,000","953,000","953,000",2020-10-08
6443,元晶            ,"4,238,000","4,936,000","-698,000",0.0,0.0,0.0,"1,396,000",0,"1,396,000","250,000","260,000","10,000","250,000",0,0,0,"948,000",2020-10-08
2312,金寶            ,"1,469,000","483,000","986,000",0.0,0.0,0.0,0,0,0,"-52,000",0,0,0,"1,000","53,000","-52,000","934,000",2020-10-08
2338,光罩            ,"1,163,000","260,000","903,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"903,000",2020-10-08
5264,鎧勝-KY         ,"1,043,000","145,000","898,000",0.0,0.0,0.0,0,0,0,"-3,000",0,"1,000","-1,000",0,"2,000","-2,000","895,000",2020-10-08
1717,長興            ,"1,085,000","203,000","882,000",0.0,0.0,0.0,0,"7,000","-7,000","18,000",0,0,0,"20,000","2,000","18,000","893,000",2020-10-08
2402,毅嘉            ,"1,350,000","499,000","851,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"851,000",2020-10-08
3533,嘉澤            ,"1,285,100","597,000","688,100",0.0,0.0,0.0,"118,000","11,000","107,000","51,000","44,000","24,000","20,000","41,000","10,000","31,000","846,100",2020-10-08
4938,和碩            ,"1,601,899","826,304","775,595",0.0,0.0,0.0,0,"2,000","-2,000","35,000",0,"52,000","-52,000","90,000","3,000","87,000","808,595",2020-10-08
1714,和桐            ,"1,477,000","673,000","804,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"804,000",2020-10-08
6282,康舒            ,"992,000","243,000","749,000",0.0,0.0,0.0,0,0,0,"24,000","14,000",0,"14,000","10,000",0,"10,000","773,000",2020-10-08
6153,嘉聯益          ,"819,000","129,000","690,000",0.0,0.0,0.0,0,0,0,"78,000","42,000",0,"42,000","54,000","18,000","36,000","768,000",2020-10-08
"=""00830""",國泰費城半導體  ,"121,150","10,000","111,150",0.0,0.0,0.0,0,0,0,"640,000","22,000",0,"22,000","831,000","213,000","618,000","751,150",2020-10-08
2331,精英            ,"3,789,000","3,058,000","731,000",0.0,0.0,0.0,0,0,0,"20,000","43,000","60,000","-17,000","37,000",0,"37,000","751,000",2020-10-08
4919,新唐            ,"1,416,000","263,000","1,153,000",0.0,0.0,0.0,0,0,0,"-414,000","16,000","404,000","-388,000","20,000","46,000","-26,000","739,000",2020-10-08
2609,陽明            ,"1,804,000","1,090,000","714,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"714,000",2020-10-08
2890,永豐金          ,"6,129,600","5,404,849","724,751",0.0,0.0,0.0,0,"16,000","-16,000",0,0,0,0,0,0,0,"708,751",2020-10-08
2912,統一超          ,"1,188,260","499,260","689,000",0.0,0.0,0.0,0,"1,000","-1,000",0,0,0,0,0,0,0,"688,000",2020-10-08
2103,台橡            ,"3,499,000","2,810,000","689,000",0.0,0.0,0.0,0,0,0,"-9,000","211,000",0,"211,000","18,000","238,000","-220,000","680,000",2020-10-08
2401,凌陽            ,"2,427,000","2,513,000","-86,000",0.0,0.0,0.0,0,0,0,"753,000","66,000","40,000","26,000","737,000","10,000","727,000","667,000",2020-10-08
6491,晶碩            ,"724,000","97,000","627,000",0.0,0.0,0.0,0,0,0,"34,000",0,0,0,"36,000","2,000","34,000","661,000",2020-10-08
2354,鴻準            ,"1,284,564","621,210","663,354",0.0,0.0,0.0,0,0,0,"-7,000",0,"4,000","-4,000",0,"3,000","-3,000","656,354",2020-10-08
2801,彰銀            ,"1,400,355","753,496","646,859",0.0,0.0,0.0,0,"9,000","-9,000",0,0,0,0,0,0,0,"637,859",2020-10-08
1605,華新            ,"2,238,537","1,664,000","574,537",0.0,0.0,0.0,0,0,0,"44,000",0,"64,000","-64,000","343,000","235,000","108,000","618,537",2020-10-08
6196,帆宣            ,"827,000","320,000","507,000",0.0,0.0,0.0,0,0,0,"98,000","2,000",0,"2,000","152,000","56,000","96,000","605,000",2020-10-08
3376,新日興          ,"490,000","439,000","51,000",0.0,0.0,0.0,"200,000",0,"200,000","345,000","308,000","35,000","273,000","87,000","15,000","72,000","596,000",2020-10-08
2006,東和鋼鐵        ,"2,424,000","1,454,000","970,000",0.0,0.0,0.0,0,"475,000","-475,000","95,000","102,000","7,000","95,000",0,0,0,"590,000",2020-10-08
1305,華夏            ,"862,000","281,000","581,000",0.0,0.0,0.0,0,0,0,"-5,000",0,0,0,"9,000","14,000","-5,000","576,000",2020-10-08
1447,力鵬            ,"845,000","271,000","574,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"574,000",2020-10-08
1402,遠東新          ,"1,556,335","917,564","638,771",0.0,0.0,0.0,0,"6,000","-6,000","-66,000",0,0,0,0,"66,000","-66,000","566,771",2020-10-08
3596,智易            ,"826,000","281,000","545,000",0.0,0.0,0.0,0,0,0,"-8,000","10,000",0,"10,000","1,000","19,000","-18,000","537,000",2020-10-08
3702,大聯大          ,"1,550,040","1,102,460","447,580",0.0,0.0,0.0,0,0,0,"82,000",0,"35,000","-35,000","127,000","10,000","117,000","529,580",2020-10-08
1434,福懋            ,"1,325,885","929,616","396,269",0.0,0.0,0.0,0,"1,000","-1,000","131,000",0,"6,000","-6,000","137,000",0,"137,000","526,269",2020-10-08
"=""00757""",統一FANG+       ,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"519,000","60,000",0,"60,000","846,000","387,000","459,000","518,000",2020-10-08
1589,永冠-KY         ,"833,000","342,000","491,000",0.0,0.0,0.0,"19,000",0,"19,000","-20,000",0,"20,000","-20,000",0,0,0,"490,000",2020-10-08
6271,同欣電          ,"1,777,000","1,441,000","336,000",0.0,0.0,0.0,"30,000",0,"30,000","120,000","46,000",0,"46,000","88,000","14,000","74,000","486,000",2020-10-08
"=""00693U""",街口S&P黃豆     ,"31,000",0,"31,000",0.0,0.0,0.0,0,0,0,"445,000",0,0,0,"1,148,000","703,000","445,000","476,000",2020-10-08
2393,億光            ,"1,490,000","1,000,000","490,000",0.0,0.0,0.0,"50,000",0,"50,000","-68,000","55,000","100,000","-45,000","5,000","28,000","-23,000","472,000",2020-10-08
6669,緯穎            ,"572,617","289,425","283,192",0.0,0.0,0.0,"191,000",0,"191,000","-14,000","9,000","20,000","-11,000","7,000","10,000","-3,000","460,192",2020-10-08
"=""00652""",富邦印度        ,0,0,0,0.0,0.0,0.0,0,0,0,"447,000",0,0,0,"447,000",0,"447,000","447,000",2020-10-08
3008,大立光          ,"761,591","345,690","415,901",0.0,0.0,0.0,"1,000","1,000",0,"28,000","13,000","3,000","10,000","23,000","5,000","18,000","443,901",2020-10-08
6251,定穎            ,"793,000","368,000","425,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"425,000",2020-10-08
2369,菱生            ,"636,000","231,000","405,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"405,000",2020-10-08
"=""00647L""",元大S&P500正2   ,0,"3,000","-3,000",0.0,0.0,0.0,0,0,0,"404,000",0,0,0,"563,000","159,000","404,000","401,000",2020-10-08
"=""00668""",國泰美國道瓊    ,"1,000","1,000",0,0.0,0.0,0.0,0,0,0,"394,848",0,0,0,"582,000","187,152","394,848","394,848",2020-10-08
3019,亞光            ,"429,000","85,000","344,000",0.0,0.0,0.0,0,0,0,"26,000","24,000","4,000","20,000","6,000",0,"6,000","370,000",2020-10-08
3661,世芯-KY         ,"1,625,000","1,348,457","276,543",0.0,0.0,0.0,"50,000",0,"50,000","39,000","85,000","19,000","66,000","20,000","47,000","-27,000","365,543",2020-10-08
6224,聚鼎            ,"382,000","33,000","349,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"349,000",2020-10-08
3006,晶豪科          ,"602,000","268,000","334,000",0.0,0.0,0.0,0,0,0,"7,000","16,000","4,000","12,000","16,000","21,000","-5,000","341,000",2020-10-08
"=""00762""",元大全球AI      ,"2,000",0,"2,000",0.0,0.0,0.0,0,0,0,"336,000",0,0,0,"376,000","40,000","336,000","338,000",2020-10-08
1802,台玻            ,"1,466,000","1,135,000","331,000",0.0,0.0,0.0,0,0,0,"5,000",0,0,0,"5,000",0,"5,000","336,000",2020-10-08
5243,乙盛-KY         ,"506,000","174,000","332,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"332,000",2020-10-08
1303,南亞            ,"1,189,338","850,244","339,094",0.0,0.0,0.0,0,"8,000","-8,000","-6,000",0,"6,000","-6,000",0,0,0,"325,094",2020-10-08
2838,聯邦銀          ,"331,000","12,000","319,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"319,000",2020-10-08
3711,日月光投控      ,"7,800,161","7,632,669","167,492",0.0,0.0,0.0,0,"26,000","-26,000","176,000","66,000","10,000","56,000","205,000","85,000","120,000","317,492",2020-10-08
2027,大成鋼          ,"709,000","1,245,000","-536,000",0.0,0.0,0.0,"410,000",0,"410,000","441,000","338,000",0,"338,000","137,000","34,000","103,000","315,000",2020-10-08
6209,今國光          ,"447,000","133,000","314,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"314,000",2020-10-08
5522,遠雄            ,"319,000","58,000","261,000",0.0,0.0,0.0,0,0,0,"49,000","49,000",0,"49,000",0,0,0,"310,000",2020-10-08
1313,聯成            ,"502,000","200,000","302,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"302,000",2020-10-08
2456,奇力新          ,"926,000","462,000","464,000",0.0,0.0,0.0,0,"134,994","-134,994","-28,000","6,000","16,000","-10,000","10,000","28,000","-18,000","301,006",2020-10-08
2105,正新            ,"1,004,809","598,848","405,961",0.0,0.0,0.0,0,"2,000","-2,000","-107,000","20,000","127,000","-107,000",0,0,0,"296,961",2020-10-08
2357,華碩            ,"822,282","529,544","292,738",0.0,0.0,0.0,0,"41,000","-41,000","42,000","10,000","4,000","6,000","43,000","7,000","36,000","293,738",2020-10-08
4142,國光生          ,"802,000","509,000","293,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"293,000",2020-10-08
4551,智伸科          ,"365,000","148,000","217,000",0.0,0.0,0.0,"67,000",0,"67,000","5,000","10,000",0,"10,000",0,"5,000","-5,000","289,000",2020-10-08
"=""00675L""",富邦臺灣加權正2 ,0,0,0,0.0,0.0,0.0,0,0,0,"289,000",0,0,0,"300,000","11,000","289,000","289,000",2020-10-08
5469,瀚宇博          ,"813,000","418,000","395,000",0.0,0.0,0.0,0,0,0,"-114,000",0,0,0,"1,000","115,000","-114,000","281,000",2020-10-08
2038,海光            ,"318,000","39,000","279,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"279,000",2020-10-08
1304,台聚            ,"1,687,000","1,409,000","278,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"278,000",2020-10-08
3530,晶相光          ,"422,000","188,000","234,000",0.0,0.0,0.0,"37,000",0,"37,000",0,0,0,0,0,0,0,"271,000",2020-10-08
"=""00646""",元大S&P500      ,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"269,000",0,0,0,"321,000","52,000","269,000","268,000",2020-10-08
"=""00634R""",富邦上証反1     ,"7,000",0,"7,000",0.0,0.0,0.0,0,0,0,"261,000",0,0,0,"346,000","85,000","261,000","268,000",2020-10-08
6449,鈺邦            ,"327,000","54,000","273,000",0.0,0.0,0.0,0,0,0,"-20,000","2,000","22,000","-20,000",0,0,0,"253,000",2020-10-08
"=""00737""",國泰AI+Robo     ,0,"104,000","-104,000",0.0,0.0,0.0,0,0,0,"341,000",0,0,0,"398,000","57,000","341,000","237,000",2020-10-08
5269,祥碩            ,"460,000","433,081","26,919",0.0,0.0,0.0,"182,000",0,"182,000","26,000","31,000","15,000","16,000","18,000","8,000","10,000","234,919",2020-10-08
3450,聯鈞            ,"343,000","111,000","232,000",0.0,0.0,0.0,0,0,0,"-1,000",0,0,0,"3,000","4,000","-1,000","231,000",2020-10-08
2023,燁輝            ,"461,000","231,000","230,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"230,000",2020-10-08
