公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收,date
1101,台泥,-,-2.88,10178622,-3.36,10228796,9885013,-6.37,77441616,72503345,2020-09
1102,亞泥,-,-1.7,6798878,-7.22,7203378,6683133,-19.56,58814366,47307654,2020-09
1103,嘉泥,-,-11.86,173129,-6.02,162363,152585,8.76,1211851,1318033,2020-09
1104,環泥,-,-23.06,477040,-3.53,380445,366990,8.71,3160150,3435661,2020-09
1108,幸福,-,-4.47,384035,22.87,298541,366847,26.85,2347192,2977578,2020-09
1109,信大,-,-4.64,656183,-14.03,727862,625696,-7.35,4897910,4537827,2020-09
1110,東泥,-,-20.86,124643,-18.15,120521,98636,-2.27,1016890,993770,2020-09
1201,味全,-,8.11,1720915,-7.47,2010851,1860519,-10.73,13635540,12171137,2020-09
1203,味王,-,3.89,490401,-11.17,573610,509509,-3.63,4204042,4051015,2020-09
1210,大成,-,5.83,6397684,-2.25,6927433,6771132,-1.06,50656618,50115919,2020-09
1213,大飲,-,20.25,53900,27.43,50864,64820,-16.46,341430,285217,2020-09
1215,卜蜂,-,0.38,1884932,3.08,1835593,1892166,4.93,13766503,14446191,2020-09
1216,統一,-,1.73,40509558,-0.27,41324567,41212854,-1.11,303861038,300458957,2020-09
1217,愛之味,-,48.7,430161,0.26,637949,639670,1.48,3173089,3220304,2020-09
1218,泰山,-,2.64,831903,2.48,833163,853882,3.62,5414254,5610479,2020-09
1219,福壽,-,-0.51,980279,-2.45,999824,975254,-2.2,8050290,7872797,2020-09
1220,台榮,-,-1.66,264847,-0.54,261871,260431,-4.18,1845748,1768466,2020-09
1225,福懋油,-,-2.47,847382,-10.85,927042,826403,-4.96,7001107,6653667,2020-09
1227,佳格,-,28.0,2474374,4.01,3045171,3167337,8.6,18659414,20265780,2020-09
1229,聯華,本公司本月營收衰退主因去年度於8月認列現金股利，而今年度於6月認列。,-3.21,725137,-43.41,1240355,701837,19.19,5188026,6183870,2020-09
1231,聯華食,-,14.3,787417,14.05,789158,900089,1.07,5729857,5791250,2020-09
1232,大統益,-,-0.54,1465369,-3.05,1503403,1457410,-1.88,11158144,10948019,2020-09
1233,天仁,-,3.51,164578,-14.03,198165,170359,-16.77,1488528,1238771,2020-09
1234,黑松,-,5.0,936282,4.36,942073,983169,-0.15,6001899,5992437,2020-09
1235,興泰,-,42.89,6635,48.55,6382,9481,15.49,23524,27170,2020-09
1236,宏亞,-,19.79,122704,-13.72,170372,146991,-15.8,1136349,956759,2020-09
1702,南僑,-,15.81,1404101,5.31,1544160,1626214,-8.24,11893226,10913096,2020-09
1737,臺鹽,-,3.94,247573,-0.6,258901,257340,5.58,1913368,2020220,2020-09
1301,台塑,-,-6.95,15716282,-13.73,16949937,14622498,-19.92,144042455,115342063,2020-09
1303,南亞,-,2.1,21752364,-6.6,23781522,22209740,-10.97,191116403,170144193,2020-09
1304,台聚,-,-2.27,4099746,-15.4,4735910,4006402,-19.14,37500001,30321059,2020-09
1305,華夏,-,-0.9,1068490,-23.37,1381919,1058853,-22.16,10284758,8005522,2020-09
1307,三芳,-,28.34,528216,-27.98,941448,677965,-21.72,6815251,5334693,2020-09
1308,亞聚,-,-5.58,432139,-22.81,528587,407986,-21.57,4478212,3512254,2020-09
1309,台達化,-,-2.65,1404282,-4.58,1432733,1366998,-22.38,11976264,9295836,2020-09
1310,台苯,-,-4.16,682498,-39.18,1075426,654054,-41.91,8462421,4915099,2020-09
1312,國喬,-,8.63,1328986,-10.96,1621653,1443785,-28.75,14011790,9983340,2020-09
1313,聯成,-,7.65,4292844,-6.6,4947933,4621335,-28.34,41795787,29949787,2020-09
1314,中石化,受疫情影響致終端需求仍呈現疲軟,6.53,1166126,-56.42,2850755,1242352,-45.92,21808473,11793624,2020-09
1315,達新,-,-20.47,240945,-19.27,237353,191602,-11.07,1616449,1437383,2020-09
1321,大洋,-,-0.52,450073,4.3,429246,447705,-0.32,3086528,3076573,2020-09
1323,永裕,-,-9.71,279151,-14.71,295515,252044,-6.78,2353083,2193501,2020-09
1324,地球,-,-1.9,88678,-6.02,92566,86992,-7.59,766879,708616,2020-09
1325,恆大,受新冠肺炎影響致營收增加,13.26,399921,761.55,52577,452980,370.91,535427,2521389,2020-09
1326,台化,-,-7.17,20451507,-26.94,25985347,18984099,-29.49,226741849,159867505,2020-09
4306,炎洲,-,4.79,1103473,-19.37,1434164,1156332,-19.05,10764088,8713089,2020-09
1402,遠東新,-,4.58,15997860,-17.53,20288593,16731731,-21.22,169985006,133910000,2020-09
1409,新纖,-,19.99,2458078,-12.15,3357589,2949597,-24.69,26863837,20230715,2020-09
1410,南染,-,0.42,31295,-11.8,35635,31428,-2.61,269456,262421,2020-09
1413,宏洲,疫情影響，下游需求急速萎縮,10.89,90952,-52.99,214577,100864,-56.29,2184375,954722,2020-09
1414,東和,-,47.2,40033,-4.42,61659,58930,-24.87,570739,428768,2020-09
1417,嘉裕,-,-10.24,90463,-28.41,113433,81197,-27.41,930656,675505,2020-09
1418,東華,因客戶受新冠狀肺炎疫情之影響調降開工率及主原料丙烯腈價格下跌，造成亞克力纖維市場需求停滯。,-48.48,6940,-73.09,13287,3575,-62.52,174787,65506,2020-09
1419,新紡,-,38.03,112340,-7.14,166996,155070,8.74,1162539,1264149,2020-09
1423,利華,受到全球肺炎疫情依舊嚴峻以及低迷之經濟情勢影響，導致毛價出現持續性下跌，銷售因此較去年同期明顯出現萎縮。,-8.23,14835,-67.33,41673,13614,-57.56,356042,151080,2020-09
1434,福懋,-,5.15,2081782,-27.73,3029589,2189192,-24.34,25514469,19302984,2020-09
1439,中和,-,-16.07,7998,-38.54,10921,6712,-32.82,125843,84539,2020-09
1440,南紡,-,-8.72,1348536,-34.39,1875976,1230819,-28.63,15664997,11179929,2020-09
1441,大東,-,42.33,125484,48.34,120395,178603,8.81,992378,1079823,2020-09
1443,立益,-,11.76,41296,-20.12,57781,46155,-22.18,454792,353905,2020-09
1444,力麗,-,15.83,601444,-34.31,1060625,696679,-34.87,8305700,5409480,2020-09
1445,大宇,-,0.35,66974,-24.04,88487,67213,-33.13,922184,616611,2020-09
1446,宏和,營建收入增加,190.59,28078,79.47,45462,81594,10.39,315263,348032,2020-09
1447,力鵬,-,54.18,622904,-10.61,1074439,960407,-35.73,10164624,6532291,2020-09
1449,佳和,-,176.79,86690,20.66,198862,239951,-22.05,1595288,1243447,2020-09
1451,年興,-,-1.75,669496,-9.08,723471,657733,-25.32,5741554,4287788,2020-09
1452,宏益,-,34.45,81921,-26.89,150673,110149,-47.1,1342276,710064,2020-09
1453,大將,"本年營收增加,係因本年銷售待售房屋及營建用地所致",-99.84,172376,618.91,37,266,37899.47,576,218877,2020-09
