公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
1101,台泥,-,-33.34,7502141,-1.66,5085162,5000692,-13.65,14479402,12502833
1102,亞泥,-,-45.27,5210319,-9.94,3165899,2851105,-27.18,11071636,8061424
1103,嘉泥,-,-8.61,165029,39.06,108448,150813,10.62,285508,315842
1104,環泥,108年2月適逢農曆春節，工作天數較少。,15.03,359966,52.99,270638,414075,3.18,750157,774041
1108,幸福,因去年同期適逢農曆春節假期發貨天數較少外，本月因部分同業設備維修出貨量下降，惟整體市場需求上升，致本公司發貨量增加。,31.67,296395,132.22,168065,390288,31.73,521254,686683
1109,信大,-,-58.09,476715,33.21,149960,199776,-17.38,818852,676491
1110,東泥,-,-8.7,126262,39.0,82927,115270,-10.28,269220,241532
1201,味全,-,-23.12,1442127,-18.4,1358770,1108658,-13.3,2942263,2550785
1203,味王,-,-2.77,516699,13.35,443171,502344,3.21,987278,1019043
1210,大成,-,-5.31,6175533,17.61,4971488,5847338,-1.03,12148001,12022872
1213,大飲,-,-24.83,31854,-40.02,39925,23944,-46.01,103351,55798
1215,卜蜂,-,-2.52,1686306,12.3,1463626,1643656,-0.57,3349095,3329962
1216,統一,-,-25.86,41529085,3.22,29826477,30787526,1.89,70970886,72316611
1217,愛之味,-,-25.31,405408,-0.13,303197,302786,3.73,682708,708194
1218,泰山,-,-31.38,736974,8.06,467918,505641,5.8,1174402,1242615
1219,福壽,-,-10.33,1016959,27.46,715431,911889,0.71,1915246,1928847
1220,台榮,-,-11.58,201511,24.14,143511,178161,-6.31,405248,379672
1225,福懋油,-,-7.63,850077,23.96,633413,785185,2.36,1597513,1635262
1227,佳格,-,-49.06,2931475,7.56,1388035,1493010,-23.05,5750169,4424485
1229,聯華,本公司本年度合併營收成長主因自108年4月起納入子公司神通電腦及神通資訊營收所致。,9.31,602410,109.34,314549,658504,56.1,807728,1260914
1231,聯華食,-,-41.68,883070,-10.12,572959,514965,-5.94,1486417,1398035
1232,大統益,-,-16.94,1479927,11.58,1101574,1229139,-0.46,2721711,2709066
1233,天仁,-,-34.09,223889,-8.81,161835,147563,-4.3,388180,371452
1234,黑松,-,-36.9,831335,-14.29,611984,524531,-15.33,1601397,1355866
1235,興泰,-,-4.81,1350,15.35,1114,1285,-8.06,2866,2635
1236,宏亞,-,-58.73,208484,9.02,78912,86037,-27.43,405860,294521
1702,南僑,-,-43.2,1492225,-13.84,983725,847574,-13.41,2702256,2339799
1737,臺鹽,-,1.33,230456,41.81,164679,233536,5.62,439290,463992
1301,台塑,-,-7.91,13858050,-13.87,14815825,12760661,-22.43,34316734,26618712
