證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16,date
0050,元大台灣50,"68,038,340","27,999","4,709,268,810",71.00,71.00,67.25,68.55,-,4.25,68.50,745,68.55,238,0.00,,2020-03-19
0051,元大中型100,"87,759",68,"2,206,761",26.67,26.67,24.53,24.78,-,1.97,24.75,2,24.97,1,0.00,,2020-03-19
0052,富邦科技,"189,546",87,"9,941,521",55.20,55.20,51.30,52.25,-,3.1,52.25,8,52.30,3,0.00,,2020-03-19
0053,元大電子,"247,010",24,"7,661,688",31.53,31.53,30.53,30.80,-,1.89,30.82,1,30.95,1,0.00,,2020-03-19
0054,元大台商50,"22,000",14,"388,200",18.20,18.20,17.43,17.51,-,1.13,17.51,2,17.52,3,0.00,,2020-03-19
0055,元大MSCI金融,"199,150",110,"2,823,830",14.50,14.50,14.00,14.00,-,1.1,14.00,20,14.02,1,0.00,,2020-03-19
0056,元大高股息,"137,455,783","58,603","3,038,195,108",22.88,22.88,21.45,21.85,-,1.44,21.85,241,21.86,21,0.00,,2020-03-19
0057,富邦摩台,"132,000",20,"5,868,390",46.95,46.95,43.96,44.63,-,3.72,44.51,10,44.85,10,0.00,,2020-03-19
0061,元大寶滬深,"1,227,653",542,"20,010,893",16.55,17.47,15.98,16.03,-,1.9,16.03,430,16.13,1,0.00,,2020-03-19
006203,元大MSCI台灣,"8,000",8,"260,580",34.20,34.20,31.80,31.80,-,2.72,31.96,1,32.00,2,0.00,,2020-03-19
006204,永豐臺灣加權,"24,000",18,"1,044,160",44.79,44.79,42.30,43.12,-,3.51,42.94,1,43.38,7,0.00,,2020-03-19
006205,富邦上証,"3,730,004","1,652","99,909,552",27.75,27.75,26.26,26.75,-,1.47,26.56,3,26.75,29,0.00,,2020-03-19
006206,元大上證50,"844,987",235,"23,463,650",28.00,28.51,27.10,27.50,-,1.74,27.30,1,27.50,4,0.00,,2020-03-19
006207,FH滬深,"584,200",104,"12,255,100",21.10,21.30,20.44,20.70,-,1.25,20.65,7,20.70,1,0.00,,2020-03-19
006208,富邦台50,"1,354,039","1,094","53,781,590",41.20,41.20,38.60,39.61,-,1.94,39.60,7,39.61,3,0.00,,2020-03-19
00625K,富邦上証+R,"50,000",2,"325,000",6.50,6.50,6.50,6.50,-,0.17,6.42,5,6.56,5,0.00,,2020-03-19
00631L,元大台灣50正2,"41,936,901","9,923","1,165,198,275",29.30,29.49,25.79,26.40,-,4.26,26.39,16,26.40,87,0.00,,2020-03-19
