id,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,日期
0,1101,台泥,6.94,108.0,10.3,1.33,109/3,2020-12-10
1,1101,台泥,7.34,108.0,9.63,1.26,109/2,2020-11-06
2,1101,台泥,6.98,108.0,10.23,1.32,109/3,2020-12-18
3,1101,台泥,7.4,108.0,9.56,1.25,109/2,2020-10-30
4,1101,台泥,7.44,108.0,9.5,1.24,109/2,2020-10-21
5,1101,台泥,7.1,108.0,10.06,1.3,109/3,2020-11-13
6,1101,台泥,7.44,108.0,9.5,1.24,109/2,2020-10-16
7,1101,台泥,7.25,108.0,9.76,1.28,109/2,2020-09-30
8,1101,台泥,7.03,108.0,10.17,1.31,109/3,2020-11-18
9,1101,台泥,7.02,108.0,10.18,1.31,109/3,2020-11-17
10,1101,台泥,7.03,108.0,10.17,1.31,109/3,2020-11-20
11,1101,台泥,7.33,108.0,9.66,1.26,109/2,2020-11-03
12,1101,台泥,7.32,108.0,9.67,1.27,109/2,2020-10-22
13,1101,台泥,7.41,108.0,9.55,1.25,109/2,2020-10-14
14,1101,台泥,7.03,108.0,10.15,1.31,109/3,2020-11-11
15,1101,台泥,6.88,108.0,10.38,1.34,109/3,2020-12-08
16,1101,台泥,7.03,108.0,10.15,1.31,109/3,2020-12-17
17,1101,台泥,7.42,108.0,9.54,1.25,109/2,2020-10-19
18,1101,台泥,6.92,108.0,10.32,1.33,109/3,2020-12-09
19,1101,台泥,7.33,108.0,9.65,1.26,109/2,2020-11-04
20,1101,台泥,6.98,108.0,10.23,1.32,109/3,2020-12-22
21,1101,台泥,7.49,108.0,9.45,1.24,109/2,2020-09-24
22,1101,台泥,6.89,108.0,10.37,1.34,109/3,2020-12-07
23,1101,台泥,6.95,108.0,10.27,1.32,109/3,2020-12-01
24,1101,台泥,7.4,108.0,9.56,1.25,109/2,2020-09-25
25,1101,台泥,7.25,108.0,9.76,1.28,109/2,2020-10-06
26,1101,台泥,6.99,108.0,10.21,1.32,109/3,2020-11-19
27,1101,台泥,7.32,108.0,9.67,1.27,109/2,2020-10-05
28,1101,台泥,7.38,108.0,9.59,1.26,109/2,2020-10-23
29,1101,台泥,7.29,108.0,9.71,1.27,109/2,2020-10-07
30,1101,台泥,7.4,108.0,9.56,1.25,109/2,2020-10-28
31,1101,台泥,6.93,108.0,10.31,1.33,109/3,2020-11-27
32,1101,台泥,7.33,108.0,9.66,1.26,109/2,2020-10-12
33,1101,台泥,7.18,108.0,9.86,1.29,109/2,2020-09-22
34,1101,台泥,6.99,108.0,10.21,1.32,109/3,2020-12-11
35,1101,台泥,7.29,108.0,9.71,1.27,109/2,2020-10-08
36,1101,台泥,6.98,108.0,10.24,1.32,109/3,2020-11-23
37,1101,台泥,6.9,108.0,10.36,1.33,109/3,2020-12-03
38,1101,台泥,7.04,108.0,10.14,1.31,109/3,2020-11-25
39,1101,台泥,7.08,108.0,10.1,1.3,109/3,2020-11-12
40,1101,台泥,7.41,108.0,9.55,1.25,109/2,2020-10-13
41,1101,台泥,6.94,108.0,10.29,1.32,109/3,2020-12-02
42,1101,台泥,7.28,108.0,9.72,1.27,109/2,2020-09-29
43,1101,台泥,4.25,105.0,18.63,1.12,106/3,2020-11-02
44,1101,台泥,7.43,108.0,9.52,1.25,109/2,2020-10-20
45,1101,台泥,7.02,108.0,10.18,1.31,109/3,2020-11-24
46,1101,台泥,6.9,108.0,10.36,1.33,109/3,2020-12-21
47,1101,台泥,7.29,108.0,9.71,1.27,109/2,2020-11-09
48,1101,台泥,7.22,108.0,9.8,1.28,109/2,2020-11-10
49,1101,台泥,7.33,108.0,9.66,1.26,109/2,2020-09-28
50,1101,台泥,7.44,108.0,9.5,1.24,109/2,2020-10-15
51,1101,台泥,6.99,108.0,10.21,1.32,109/3,2020-11-30
52,1101,台泥,7.32,108.0,9.67,1.27,109/2,2020-09-23
53,1101,台泥,7.41,108.0,9.55,1.25,109/2,2020-10-27
54,1101,台泥,6.98,108.0,10.23,1.32,109/3,2020-11-26
55,1101,台泥,6.97,108.0,10.25,1.32,109/3,2020-12-16
56,1101,台泥,7.06,108.0,10.12,1.3,109/3,2020-12-15
57,1101,台泥,7.08,108.0,10.08,1.3,109/3,2020-11-16
58,1101,台泥,7.01,108.0,10.19,1.31,109/3,2020-12-14
59,1101,台泥,7.41,108.0,9.55,1.25,109/2,2020-10-26
60,1101,台泥,6.87,108.0,10.39,1.34,109/3,2020-12-04
61,1101,台泥,7.31,108.0,9.68,1.27,109/2,2020-11-05
