id,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
0,0050,元大台灣50      ,"250,250","23,961,000","-23,710,750",0.0,0.0,0.0,0,0,0,"-7,984,000","994,000","804,000","190,000","2,511,000","10,685,000","-8,174,000","-31,694,750"
1,0051,元大中型100     ,"6,000","5,000","1,000",0.0,0.0,0.0,0,0,0,"-45,000",0,0,0,"14,000","59,000","-45,000","-44,000"
2,0052,富邦科技        ,"5,000","5,000",0,0.0,0.0,0.0,0,0,0,"-14,000",0,0,0,"117,000","131,000","-14,000","-14,000"
3,0053,元大電子        ,0,0,0,0.0,0.0,0.0,0,0,0,"-21,000",0,0,0,"10,000","31,000","-21,000","-21,000"
4,0054,元大台商50      ,0,0,0,0.0,0.0,0.0,0,0,0,"-4,000",0,0,0,0,"4,000","-4,000","-4,000"
5,0055,元大MSCI金融    ,"1,000","2,000","-1,000",0.0,0.0,0.0,0,0,0,"9,000",0,0,0,"25,000","16,000","9,000","8,000"
6,0056,元大高股息      ,"97,030","23,000","74,030",0.0,0.0,0.0,0,0,0,"-137,420,000","1,160,000","1,390,000","-230,000","20,000","137,210,000","-137,190,000","-137,345,970"
7,0057,富邦摩台        ,0,0,0,0.0,0.0,0.0,0,0,0,"-11,000",0,0,0,"21,000","32,000","-11,000","-11,000"
8,0061,元大寶滬深      ,"16,000",0,"16,000",0.0,0.0,0.0,0,0,0,"242,000","30,000","50,000","-20,000","313,000","51,000","262,000","258,000"
9,1101,台泥            ,"10,663,328","19,894,708","-9,231,380",0.0,0.0,0.0,"513,000",0,"513,000","4,137,002","745,000","86,000","659,000","3,728,000","249,998","3,478,002","-4,581,378"
10,1102,亞泥            ,"7,873,869","11,274,246","-3,400,377",0.0,0.0,0.0,"135,000",0,"135,000","2,834,000","22,000","253,000","-231,000","3,202,000","137,000","3,065,000","-431,377"
11,1103,嘉泥            ,"394,000","939,000","-545,000",0.0,0.0,0.0,0,0,0,"9,000","30,000","21,000","9,000",0,0,0,"-536,000"
12,1104,環泥            ,"29,000","176,000","-147,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-147,000"
13,1108,幸福            ,"4,000","4,000",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
14,1109,信大            ,"24,000","208,000","-184,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-184,000"
15,1110,東泥            ,"2,000","39,000","-37,000",0.0,0.0,0.0,0,0,0,"-21,000","4,000","25,000","-21,000",0,0,0,"-58,000"
16,1201,味全            ,"339,000","650,000","-311,000",0.0,0.0,0.0,0,0,0,"-14,000",0,0,0,0,"14,000","-14,000","-325,000"
17,1203,味王            ,"14,000","54,000","-40,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-40,000"
18,1210,大成            ,"297,000","1,178,000","-881,000",0.0,0.0,0.0,0,0,0,"-123,000",0,"123,000","-123,000",0,0,0,"-1,004,000"
19,1215,卜蜂            ,"192,187","299,000","-106,813",0.0,0.0,0.0,0,"300,000","-300,000","-50,000",0,"40,000","-40,000",0,"10,000","-10,000","-456,813"
20,1216,統一            ,"10,580,502","15,734,593","-5,154,091",0.0,0.0,0.0,"50,000",0,"50,000","-68,000","14,000","6,000","8,000","59,000","135,000","-76,000","-5,172,091"
21,1217,愛之味          ,"611,000","820,000","-209,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-209,000"
22,1218,泰山            ,"1,150,000","311,000","839,000",0.0,0.0,0.0,0,0,0,"-27,000","6,000","33,000","-27,000",0,0,0,"812,000"
23,1219,福壽            ,"3,000","6,000","-3,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-3,000"
24,1220,台榮            ,"7,000","11,000","-4,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-4,000"
25,1225,福懋油          ,"4,000","41,000","-37,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-37,000"
26,1227,佳格            ,"1,573,122","1,382,000","191,122",0.0,0.0,0.0,0,0,0,"-14,000","6,000","20,000","-14,000",0,0,0,"177,122"
